datetime,elapsed_s,pressure_hpa
2000/01/01@05:05:50,8,976.2483
2000/01/01@05:05:51,9,976.2671
2000/01/01@05:05:52,10,976.2667
2000/01/01@05:05:53,11,976.2428
2000/01/01@05:05:54,12,976.29468
2000/01/01@05:05:56,14,976.2736
2000/01/01@05:05:57,15,976.2849
2000/01/01@05:05:58,16,976.2226
2000/01/01@05:05:59,17,976.2207
2000/01/01@05:06:00,18,976.2318
2000/01/01@05:06:01,19,976.2477
2000/01/01@05:06:02,20,976.2225
2000/01/01@05:06:03,21,976.2528
2000/01/01@05:06:04,22,976.298
2000/01/01@05:06:05,23,976.2425
2000/01/01@05:06:06,24,976.2329
2000/01/01@05:06:07,25,976.16176
2000/01/01@05:06:09,27,976.1191
2000/01/01@05:06:10,28,976.13584
2000/01/01@05:06:11,29,976.14984
2000/01/01@05:06:12,30,976.1463
2000/01/01@05:06:13,31,976.1369
2000/01/01@05:06:14,32,976.1828
2000/01/01@05:06:15,33,976.2062
2000/01/01@05:06:16,34,976.266336
2000/01/01@05:06:17,35,976.286
2000/01/01@05:06:18,36,976.24308
2000/01/01@05:06:19,37,976.2132
2000/01/01@05:06:20,38,976.2316
2000/01/01@05:06:22,40,976.24632
2000/01/01@05:06:23,41,976.2207
2000/01/01@05:06:24,42,976.226
2000/01/01@05:06:25,43,976.2393
2000/01/01@05:06:26,44,976.27052
2000/01/01@05:06:27,45,976.2576
2000/01/01@05:06:28,46,976.2246
2000/01/01@05:06:29,47,976.205
2000/01/01@05:06:30,48,976.21216
2000/01/01@05:06:31,49,976.23832
2000/01/01@05:06:32,50,976.25448
2000/01/01@05:06:33,51,976.2304
2000/01/01@05:06:35,53,976.2134
2000/01/01@05:06:36,54,976.2358
2000/01/01@05:06:37,55,976.3017
2000/01/01@05:06:38,56,976.28548
2000/01/01@05:06:39,57,976.2991
2000/01/01@05:06:40,58,976.2942
2000/01/01@05:06:41,59,976.3125
2000/01/01@05:06:42,60,976.3752
2000/01/01@05:06:43,61,976.3161
2000/01/01@05:06:44,62,976.280768
2000/01/01@05:06:45,63,976.272
2000/01/01@05:06:46,64,976.24932
2000/01/01@05:06:48,66,976.2542
2000/01/01@05:06:49,67,976.3013
2000/01/01@05:06:50,68,976.31668
2000/01/01@05:06:51,69,976.32624
2000/01/01@05:06:52,70,976.2592
2000/01/01@05:06:53,71,976.2478
2000/01/01@05:06:54,72,976.264064
2000/01/01@05:06:55,73,976.24696
2000/01/01@05:06:56,74,976.2608
2000/01/01@05:06:57,75,976.2561
2000/01/01@05:06:58,76,976.31716
2000/01/01@05:06:59,77,976.30224
2000/01/01@05:07:01,79,976.2607
2000/01/01@05:07:02,80,976.25288
2000/01/01@05:07:03,81,976.2261
2000/01/01@05:07:04,82,976.1857
2000/01/01@05:07:05,83,976.1718
2000/01/01@05:07:06,84,976.2012
2000/01/01@05:07:07,85,976.2406
2000/01/01@05:07:08,86,976.2128
2000/01/01@05:07:09,87,976.1983
2000/01/01@05:07:10,88,976.2385
2000/01/01@05:07:11,89,976.23584
2000/01/01@05:07:12,90,976.2201
2000/01/01@05:07:14,92,976.23416
2000/01/01@05:07:15,93,976.1767
2000/01/01@05:07:16,94,976.1721
2000/01/01@05:07:17,95,976.236
2000/01/01@05:07:18,96,976.23616
2000/01/01@05:07:19,97,976.2942
2000/01/01@05:07:20,98,976.2378
2000/01/01@05:07:21,99,976.2356
2000/01/01@05:07:22,100,976.2679
2000/01/01@05:07:23,101,976.23096
2000/01/01@05:07:24,102,976.2227
2000/01/01@05:07:26,103,976.2009
2000/01/01@05:07:27,105,976.22016
2000/01/01@05:07:28,106,976.2449
2000/01/01@05:07:29,107,976.25108
2000/01/01@05:07:30,108,976.20652
2000/01/01@05:07:31,109,976.2478
2000/01/01@05:07:32,110,976.2048
2000/01/01@05:07:33,111,976.20664
2000/01/01@05:07:34,112,976.23668
2000/01/01@05:07:35,113,976.2547
2000/01/01@05:07:36,114,976.272
2000/01/01@05:07:37,115,976.2595
2000/01/01@05:07:39,117,976.2633
2000/01/01@05:07:40,118,976.2443
2000/01/01@05:07:41,119,976.2467
2000/01/01@05:07:42,120,976.251968
2000/01/01@05:07:43,121,976.23416
2000/01/01@05:07:44,122,976.255264
2000/01/01@05:07:45,123,976.2796
2000/01/01@05:07:46,124,976.3055
2000/01/01@05:07:47,125,976.26532
2000/01/01@05:07:48,126,976.2748
2000/01/01@05:07:49,127,976.2971
2000/01/01@05:07:50,128,976.233664
2000/01/01@05:07:52,130,976.2634
2000/01/01@05:07:53,131,976.23304
2000/01/01@05:07:54,132,976.3097
2000/01/01@05:07:55,133,976.34548
2000/01/01@05:07:56,134,976.3551
2000/01/01@05:07:57,135,976.3549
2000/01/01@05:07:58,136,976.33932
2000/01/01@05:07:59,137,976.3209
2000/01/01@05:08:00,138,976.332
2000/01/01@05:08:01,139,976.3187
2000/01/01@05:08:02,140,976.3136
2000/01/01@05:08:03,141,976.2971
2000/01/01@05:08:05,143,976.2963
2000/01/01@05:08:06,144,976.2921
2000/01/01@05:08:07,145,976.33984
2000/01/01@05:08:08,146,976.32024
2000/01/01@05:08:09,147,976.345136
2000/01/01@05:08:10,148,976.336
2000/01/01@05:08:11,149,976.36976
2000/01/01@05:08:12,150,976.30368
2000/01/01@05:08:13,151,976.33332
2000/01/01@05:08:14,152,976.3028
2000/01/01@05:08:15,153,976.2782
2000/01/01@05:08:16,154,976.25108
2000/01/01@05:08:18,156,976.25944
2000/01/01@05:08:19,157,976.25748
2000/01/01@05:08:20,158,976.2243
2000/01/01@05:08:21,159,976.2205
2000/01/01@05:08:22,160,976.1647
2000/01/01@05:08:23,161,976.21688
2000/01/01@05:08:24,162,976.211264
2000/01/01@05:08:25,163,976.2494
2000/01/01@05:08:26,164,976.2952
2000/01/01@05:08:27,165,976.296
2000/01/01@05:08:28,166,976.2229
2000/01/01@05:08:29,167,976.2064
2000/01/01@05:08:31,169,976.2042
2000/01/01@05:08:32,170,976.2469
2000/01/01@05:08:33,171,976.22596
2000/01/01@05:08:34,172,976.2469
2000/01/01@05:08:35,173,976.28392
2000/01/01@05:08:36,174,976.2996
2000/01/01@05:08:37,175,976.28092
2000/01/01@05:08:38,176,976.2319
2000/01/01@05:08:39,177,976.21952
2000/01/01@05:08:40,178,976.17668
2000/01/01@05:08:41,179,976.2076
2000/01/01@05:08:43,181,976.2229
2000/01/01@05:08:44,182,976.19944
2000/01/01@05:08:45,183,976.25008
2000/01/01@05:08:46,184,976.24552
2000/01/01@05:08:47,185,976.2703
2000/01/01@05:08:48,186,976.2759
2000/01/01@05:08:49,187,976.32152
2000/01/01@05:08:50,188,976.2561
2000/01/01@05:08:51,189,976.2894
2000/01/01@05:08:52,190,976.2989
2000/01/01@05:08:53,191,976.29848
2000/01/01@05:08:54,192,976.233
2000/01/01@05:08:56,194,976.2897
2000/01/01@05:08:57,195,976.3142
2000/01/01@05:08:58,196,976.2654
2000/01/01@05:08:59,197,976.2509
2000/01/01@05:09:00,198,976.2544
2000/01/01@05:09:01,199,976.21908
2000/01/01@05:09:02,200,976.2374
2000/01/01@05:09:03,201,976.2527
2000/01/01@05:09:04,202,976.2653
2000/01/01@05:09:05,203,976.23192
2000/01/01@05:09:06,204,976.2714
2000/01/01@05:09:07,205,976.2784
2000/01/01@05:09:09,207,976.2866
2000/01/01@05:09:10,208,976.2929
2000/01/01@05:09:11,209,976.27452
2000/01/01@05:09:12,210,976.21908
2000/01/01@05:09:13,211,976.1451
2000/01/01@05:09:14,212,976.1614
2000/01/01@05:09:15,213,976.152064
2000/01/01@05:09:16,214,976.2101
2000/01/01@05:09:17,215,976.247536
2000/01/01@05:09:18,216,976.23704
2000/01/01@05:09:19,217,976.2308
2000/01/01@05:09:20,218,976.28
2000/01/01@05:09:22,220,976.299
2000/01/01@05:09:23,221,976.3011
