datetime,elapsed_s,pressure_hpa
2026/08/01@02:55:28,8,1008.2012
2026/08/01@02:55:29,9,1008.1708
2026/08/01@02:55:30,10,1008.147
2026/08/01@02:55:31,11,1008.1477
2026/08/01@02:55:32,12,1008.1822
2026/08/01@02:55:33,13,1008.1678
2026/08/01@02:55:34,14,1008.15116
2026/08/01@02:55:35,15,1008.1295
2026/08/01@02:55:36,16,1008.12696
2026/08/01@02:55:37,17,1008.139
2026/08/01@02:55:38,18,1008.2009
2026/08/01@02:55:39,19,1008.1556
2026/08/01@02:55:41,21,1008.15184
2026/08/01@02:55:42,22,1008.1705
2026/08/01@02:55:43,23,1008.1453
2026/08/01@02:55:44,24,1008.14344
2026/08/01@02:55:45,25,1008.16768
2026/08/01@02:55:46,26,1008.12148
