datetime,elapsed_s,pressure_hpa
2026/08/01@02:55:55,8,1008.19052
2026/08/01@02:55:56,9,1008.18384
2026/08/01@02:55:57,10,1008.1546
2026/08/01@02:55:58,11,1008.19008
2026/08/01@02:55:59,12,1008.1786
2026/08/01@02:56:00,13,1008.1743
2026/08/01@02:56:02,15,1008.1933
2026/08/01@02:56:03,16,1008.19144
2026/08/01@02:56:04,17,1008.1929
2026/08/01@02:56:05,18,1008.1859
2026/08/01@02:56:06,19,1008.24712
2026/08/01@02:56:07,20,1008.21624
2026/08/01@02:56:08,21,1008.22488
2026/08/01@02:56:09,22,1008.1875
2026/08/01@02:56:10,23,1008.1716
2026/08/01@02:56:11,24,1008.1825
2026/08/01@02:56:12,25,1008.1524
2026/08/01@02:56:14,27,1008.2356
