datetime,elapsed_s,pressure_hpa
2026/08/01@02:54:52,7,1008.1692
2026/08/01@02:54:53,8,1008.1677
2026/08/01@02:54:54,9,1008.1395
2026/08/01@02:54:55,10,1008.1696
2026/08/01@02:54:56,11,1008.1584
2026/08/01@02:54:58,13,1008.15736
2026/08/01@02:54:59,14,1008.19008
2026/08/01@02:55:00,15,1008.1445
2026/08/01@02:55:01,16,1008.1786
2026/08/01@02:55:02,17,1008.209
2026/08/01@02:55:03,18,1008.1439
2026/08/01@02:55:04,19,1008.16176
2026/08/01@02:55:05,20,1008.1884
2026/08/01@02:55:06,21,1008.16264
2026/08/01@02:55:07,22,1008.1808
2026/08/01@02:55:08,23,1008.1637
2026/08/01@02:55:09,24,1008.16424
2026/08/01@02:55:11,26,1008.1806
2026/08/01@02:55:12,27,1008.1867
2026/08/01@02:55:13,28,1008.145
