#,Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],#
Device,ID:,FluxLog-3,
1,123,371,73.82,0,
2,371,110,22.78,186,
3,402,499,141.24,202,
4,450,376,76.43,220,
5,473,588,183.26,236,
6,523,135,24.92,252,
7,584,88,20.96,268,
8,998,166,28.62,343,
9,1215,384,80.08,359,
10,1634,167,28.76,549,
11,1694,96,21.67,565,
12,1878,430,101.41,581,
13,1930,448,112.41,597,
14,2104,248,42.69,615,
15,2125,368,72.93,631,
16,2163,103,22.23,647,
17,2204,167,28.76,663,
18,2244,241,41.39,679,
19,2370,255,43.96,872,
20,2681,184,31.36,888,
21,2730,280,48.67,907,
22,2775,143,25.74,923,
23,2974,518,151.06,1000,
24,3043,96,21.67,1016,
25,3085,243,41.74,1032,
26,3119,243,41.74,1048,
27,3313,316,56.81,1064,
28,3722,327,59.28,1257,
29,3771,342,64.07,1273,
30,3793,391,82.35,1289,
31,3846,423,97.36,1305,
32,4051,355,68.30,1321,
33,4249,152,26.78,1339,
34,4269,492,134.92,1355,
35,4384,135,24.92,1371,
36,4566,371,73.82,1566,
37,4617,327,59.28,1582,
38,4694,156,27.28,1598,
39,4770,222,37.96,1673,
40,4804,199,33.86,1689,
41,4882,254,43.77,1705,
42,4932,467,121.56,1724,
43,5061,230,39.39,1742,
44,5221,268,46.26,1758,
45,5244,231,39.55,1774,
46,5329,583,201.26,1790,
47,5449,96,21.67,1806,
48,5861,152,26.78,2002,
49,5992,124,23.92,2018,
50,6016,295,51.75,2034,
51,6114,335,61.77,2050,
52,6158,280,48.67,2066,
53,6415,240,41.21,2084,
54,6454,408,90.57,2100,
55,6633,423,97.36,2354,
56,6695,152,26.78,2370,
57,6757,304,53.73,2386,
58,6791,167,28.76,2402,
59,6954,263,45.37,2418,
60,6971,271,46.93,2434,
61,7220,255,43.96,2450,
62,7272,97,21.75,2466,
63,7510,348,65.64,2484,
64,7631,111,22.86,2503,
65,7832,558,172.78,2698,
66,7967,273,47.25,2714,
67,8264,371,73.82,2730,
68,8372,243,41.74,2746,
69,8677,319,57.64,2762,
70,8886,335,61.77,3017,
71,8908,199,33.86,3033,
72,8928,344,64.67,3051,
73,8957,79,20.03,3067,
74,9229,79,20.03,3083,
75,9256,195,33.17,3099,
76,9483,96,21.67,3115,
77,9518,743,466.23,3131,
78,9629,312,55.68,3147,
79,9665,184,31.36,3163,
80,9844,108,22.63,3179,
81,10010,364,71.71,3376,
82,10171,79,20.03,3394,
83,10407,472,125.87,3410,
84,10694,108,22.63,3426,
85,10816,254,43.77,3445,
86,11092,108,22.63,3702,
87,11199,307,54.48,3718,
88,11559,222,37.96,3734,
89,11672,120,23.58,3750,
90,11895,115,23.18,3766,
91,12223,99,21.91,3963,
92,12441,240,41.21,3981,
93,12527,96,21.67,3997,
94,12578,415,95.00,4013,
95,12749,423,97.36,4029,
96,13058,359,69.86,4045,
97,13239,297,52.13,4242,
98,13450,152,26.78,4258,
99,13486,94,21.50,4274,
100,13550,83,20.46,4290,
101,13723,460,119.54,4306,
102,13910,81,20.25,4384,
103,14058,135,24.92,4400,
104,14220,435,104.92,4599,
105,14279,103,22.23,4618,
106,14354,92,21.32,4634,
107,14422,483,132.60,4650,
108,14519,112,22.94,4666,
109,14547,83,20.46,4682,
110,14628,326,59.13,4698,
111,14840,88,20.96,4716,
112,14867,167,28.76,4732,
113,14890,323,58.48,4748,
114,14996,255,43.96,4764,
115,15073,435,104.92,4780,
116,15352,335,61.77,4979,
117,15461,295,51.75,5056,
118,15526,355,68.30,5072,
119,15645,112,22.94,5088,
120,15688,89,21.05,5104,
121,15936,585,189.11,5122,
122,16603,120,23.58,5138,
123,16738,103,22.23,5337,
124,16763,748,436.69,5353,
125,16863,159,27.66,5373,
126,17087,396,85.28,5389,
127,17225,393,83.55,5405,
128,17254,224,38.29,5421,
129,17414,110,22.78,5437,
130,17463,199,33.86,5453,
131,17517,384,80.08,5471,
132,17604,432,101.61,5487,
133,17799,112,22.94,5747,
134,17821,231,39.55,5763,
135,18059,110,22.78,5779,
136,18103,192,32.67,5795,
137,18138,248,42.69,5811,
138,18156,204,34.73,5827,
139,18276,211,35.96,5843,
140,18333,120,23.58,5859,
141,18388,423,97.36,5877,
142,18498,403,88.99,5893,
143,18533,390,82.70,5909,
144,18742,156,27.28,5925,
145,18868,220,37.58,6127,
146,18911,190,32.33,6143,
147,19115,335,61.77,6159,
148,19207,97,21.75,6233,
149,19296,430,101.41,6249,
150,19437,225,38.48,6267,
151,19724,401,87.91,6283,
152,19823,291,50.97,6299,
153,20354,323,58.48,6498,
154,20382,295,51.75,6514,
155,20546,352,66.89,6530,
156,20699,188,32.01,6546,
157,20749,268,46.26,6562,
158,21030,310,55.16,6578,
159,21205,366,72.41,6777,
160,21269,291,50.97,6795,
161,21317,129,24.35,6811,
162,21437,480,130.21,6827,
163,21591,240,41.21,6843,
164,21689,275,47.73,6920,
165,21726,403,88.99,6936,
166,21821,238,40.82,6952,
167,21948,300,52.79,6968,
168,22148,124,23.92,6984,
169,22269,207,35.26,7183,
170,22510,88,20.96,7201,
171,22899,115,23.18,7217,
172,22963,184,31.36,7233,
173,23270,609,211.41,7249,
174,23390,147,26.19,7448,
175,23483,127,24.18,7464,
176,23625,335,61.77,7480,
177,23719,224,38.29,7496,
178,23743,206,35.07,7512,
