datetime,elapsed_s,pressure_hpa
2000/01/01@08:18:06,8,392.4053
2000/01/01@08:18:07,9,392.8071
2000/01/01@08:18:08,10,393.41696
2000/01/01@08:18:09,11,394.06164
2000/01/01@08:18:11,13,394.779016
2000/01/01@08:18:12,14,395.31552
2000/01/01@08:18:13,15,395.86396
2000/01/01@08:18:14,16,396.567384
2000/01/01@08:18:15,17,397.3225
2000/01/01@08:18:16,18,397.798584
2000/01/01@08:18:17,19,398.3004
2000/01/01@08:18:18,20,398.93788
2000/01/01@08:18:19,21,399.43712
2000/01/01@08:18:20,22,400.2083
2000/01/01@08:18:21,23,400.779016
2000/01/01@08:18:23,25,401.59516
2000/01/01@08:18:24,26,402.32744
2000/01/01@08:18:25,27,403.01196
2000/01/01@08:18:26,28,403.473668
2000/01/01@08:18:27,29,404.4035
2000/01/01@08:18:28,30,404.743
2000/01/01@08:18:29,31,405.43128
2000/01/01@08:18:30,32,405.904032
2000/01/01@08:18:31,33,406.50864
2000/01/01@08:18:32,34,407.2287
2000/01/01@08:18:33,35,407.897068
2000/01/01@08:18:34,36,408.5936
2000/01/01@08:18:36,38,409.154136
2000/01/01@08:18:37,39,409.721232
2000/01/01@08:18:38,40,410.37796
2000/01/01@08:18:39,41,410.97052
2000/01/01@08:18:40,42,411.7122
2000/01/01@08:18:41,43,412.41076
2000/01/01@08:18:42,44,413.1125
2000/01/01@08:18:43,45,413.7508
2000/01/01@08:18:44,46,414.33808
2000/01/01@08:18:45,47,415.10864
2000/01/01@08:18:46,48,415.667168
2000/01/01@08:18:47,49,416.3447
2000/01/01@08:18:49,51,416.92644
2000/01/01@08:18:50,52,417.85928
2000/01/01@08:18:51,53,418.52704
2000/01/01@08:18:52,54,419.39272
2000/01/01@08:18:53,55,419.76392
2000/01/01@08:18:54,56,420.7263
2000/01/01@08:18:55,57,421.28116
2000/01/01@08:18:56,58,421.9807
2000/01/01@08:18:57,59,422.74136
2000/01/01@08:18:58,60,423.33304
2000/01/01@08:18:59,61,424.01012
2000/01/01@08:19:00,62,424.66124
2000/01/01@08:19:02,64,425.32524
2000/01/01@08:19:03,65,426.00828
2000/01/01@08:19:04,66,426.68344
2000/01/01@08:19:05,67,427.3181
2000/01/01@08:19:06,68,427.8957
2000/01/01@08:19:07,69,428.57712
2000/01/01@08:19:08,70,429.28284
2000/01/01@08:19:09,71,429.988868
2000/01/01@08:19:10,72,430.67164
2000/01/01@08:19:11,73,431.33812
2000/01/01@08:19:12,74,431.99188
2000/01/01@08:19:14,75,432.8562
2000/01/01@08:19:15,77,433.50772
2000/01/01@08:19:16,78,434.25632
2000/01/01@08:19:17,79,434.97476
2000/01/01@08:19:18,80,435.6493
2000/01/01@08:19:19,81,436.32648
2000/01/01@08:19:20,82,437.16812
2000/01/01@08:19:21,83,437.6482
2000/01/01@08:19:22,84,438.4173
2000/01/01@08:19:23,85,439.20188
2000/01/01@08:19:24,86,439.68224
2000/01/01@08:19:25,87,440.497632
2000/01/01@08:19:26,88,441.1387
2000/01/01@08:19:28,90,441.6349
