datetime,elapsed_s,uvindex
2026/08/01@13:23:50,7,0.0047826088
2026/08/01@13:23:51,8,0.0047826088
2026/08/01@13:23:52,9,0.0047826088
2026/08/01@13:23:53,10,0.0047826088
2026/08/01@13:23:54,11,0.0047826088
2026/08/01@13:23:56,12,0.0047826088
2026/08/01@13:23:57,14,0.0052173916
2026/08/01@13:23:58,15,0.0052173916
2026/08/01@13:23:59,16,0.0052173916
2026/08/01@13:24:00,17,0.0047826088
2026/08/01@13:24:01,18,0.005652174
2026/08/01@13:24:02,19,0.006521739
2026/08/01@13:24:03,20,0.005652174
2026/08/01@13:24:04,21,0.006521739
2026/08/01@13:24:05,22,0.005652174
2026/08/01@13:24:06,23,0.005652174
2026/08/01@13:24:07,24,0.006521739
2026/08/01@13:24:08,25,0.005652174
2026/08/01@13:24:10,27,0.006521739
2026/08/01@13:24:11,28,0.005652174
2026/08/01@13:24:12,29,0.00739130432
2026/08/01@13:24:13,30,0.008260869
2026/08/01@13:24:14,31,0.01
2026/08/01@13:24:15,32,0.01
2026/08/01@13:24:16,33,0.010434783
2026/08/01@13:24:17,34,0.01
2026/08/01@13:24:18,35,0.011304348
2026/08/01@13:24:19,36,0.01
2026/08/01@13:24:20,37,0.02
2026/08/01@13:24:21,38,0.020869566
2026/08/01@13:24:23,40,0.020869566
2026/08/01@13:24:24,41,0.003478261
2026/08/01@13:24:25,42,0.0039130436
2026/08/01@13:24:26,43,0.0030434784
2026/08/01@13:24:27,44,0.003478261
2026/08/01@13:24:28,45,0.016956522
2026/08/01@13:24:29,46,0.016956522
2026/08/01@13:24:30,47,0.016521738
2026/08/01@13:24:31,48,0.013913044
2026/08/01@13:24:32,49,0.008695652
2026/08/01@13:24:33,50,0.024347826
2026/08/01@13:24:34,51,0.025652174
2026/08/01@13:24:36,53,0.02
2026/08/01@13:24:37,54,0.009565217
2026/08/01@13:24:38,55,0.02826087
2026/08/01@13:24:39,56,0.04043478
2026/08/01@13:24:40,57,0.039565216
2026/08/01@13:24:41,58,0.042173916
2026/08/01@13:24:42,59,0.026086956
2026/08/01@13:24:43,60,0.030869566
2026/08/01@13:24:44,61,0.042608696
2026/08/01@13:24:45,62,0.049130436
2026/08/01@13:24:46,63,0.052608696
2026/08/01@13:24:47,64,0.048695652
2026/08/01@13:24:49,66,0.050434784
2026/08/01@13:24:50,67,0.055652176
2026/08/01@13:24:51,68,0.056086956
2026/08/01@13:24:52,69,0.047391304
2026/08/01@13:24:53,70,0.046086956
2026/08/01@13:24:54,71,0.04478261
2026/08/01@13:24:55,72,0.047826084
2026/08/01@13:24:56,73,0.046086956
2026/08/01@13:24:57,74,0.04478261
2026/08/01@13:24:58,75,0.046086956
