2000/01/09@13:24:18,26,-0.69018552,0.12817383,0.6723633,-0.8549618,1.1603054,-0.35877864
2000/01/09@13:24:18,26,-0.69018552,0.12817383,0.6723633,-0.8549618,1.1603054,-0.35877864
2000/01/09@13:24:19,27,-0.708313,0.1282959,0.6699829,-4.6793896,1.5343511,-0.07633588
2000/01/09@13:24:20,28,-0.7281494,0.55511476,0.4812622,-34.64122,-4.4961832,0.99236643
2000/01/09@13:24:21,29,-0.60913084,-0.16583252,0.73547363,-25.549618,-3.2290078,0.122137408
2000/01/09@13:24:22,30,-1.0270386,0.17785644,0.13061524,-2.2900762,86.778624,20.8015268
2000/01/09@13:24:23,31,0.32659912,-0.054138184,1.0752564,-14.916031,-36.717556,71.67939
2000/01/09@13:24:24,32,-0.67230224,0.14746094,0.6182251,3.91603068,2.519084,-7.1984732
2000/01/09@13:24:25,33,-0.687072736,0.008666992,0.6948242,-17.022902,0.961832064,2.2824428
2000/01/09@13:24:26,34,-0.592041,-0.22924804,0.7092285,0.0,0.0,0.0
2000/01/09@13:24:43,51,3.0005002
2000/01/09@13:24:44,52,3.00075
2000/01/09@13:25:07,75,0.0
2000/01/09@13:25:08,76,0.0
2000/01/09@13:25:09,77,0.0
2000/01/09@13:25:10,78,0.0
2000/01/09@13:25:11,79,0.0
2000/01/09@13:25:12,80,0.0
2000/01/09@13:25:13,81,0.0
2000/01/09@13:25:14,82,0.0
2000/01/09@13:25:56,124,780.9981
2000/01/09@13:25:58,126,780.9981
2000/01/09@13:25:59,127,780.9981
2000/01/09@13:26:00,128,780.9981
2000/01/09@13:26:01,129,780.9981
2000/01/09@13:26:02,130,780.9981
2000/01/09@13:26:03,131,780.9981
2000/01/09@13:26:04,132,780.9981
2000/01/09@13:26:05,133,780.9981
2000/01/09@13:26:06,134,780.9981
2000/01/09@13:26:07,135,780.9981
2000/01/09@13:26:08,136,780.9981
2000/01/09@13:26:09,137,780.9981
2000/01/09@13:26:11,139,780.9981
2000/01/09@13:26:12,140,780.9981
2000/01/09@13:26:13,141,780.9981
2000/01/09@13:26:14,142,780.9981
2000/01/09@13:26:15,143,780.9981
2000/01/09@13:26:16,144,780.9981
