datetime,elapsed_s,uvindex
2000/01/02@12:56:45,7,0.09739131
2000/01/02@12:56:46,8,0.28565216
2000/01/02@12:56:47,9,0.2452174
2000/01/02@12:56:48,10,0.27652174
2000/01/02@12:56:49,11,0.2673913
2000/01/02@12:56:50,12,0.2747826
2000/01/02@12:56:51,13,0.27347828
2000/01/02@12:56:52,14,0.2773913
2000/01/02@12:56:53,15,0.2873913
2000/01/02@12:56:55,17,0.2704348
2000/01/02@12:56:56,18,0.14826088
2000/01/02@12:56:57,19,0.18304348
2000/01/02@12:56:58,20,0.24608696
2000/01/02@12:56:59,21,0.227826092
2000/01/02@12:57:00,22,0.22130434
2000/01/02@12:57:01,23,0.30608696
2000/01/02@12:57:02,24,0.24608696
2000/01/02@12:57:03,25,0.24956522
2000/01/02@12:57:04,26,0.24347826
2000/01/02@12:57:05,27,0.23956522
2000/01/02@12:57:06,28,0.21086956
2000/01/02@12:57:08,30,0.220869568
2000/01/02@12:57:09,31,0.24
2000/01/02@12:57:10,32,0.24086956
2000/01/02@12:57:11,33,0.2273913
2000/01/02@12:57:12,34,0.22217392
2000/01/02@12:57:13,35,0.3026087
2000/01/02@12:57:14,36,0.115652176
2000/01/02@12:57:15,37,0.09869565
2000/01/02@12:57:16,38,0.08130435
2000/01/02@12:57:17,39,0.050869564
2000/01/02@12:57:18,40,0.03
2000/01/02@12:57:19,41,0.03173913
2000/01/02@12:57:20,42,0.034347824
2000/01/02@12:57:22,44,0.027391306
2000/01/02@12:57:23,45,0.02173913
2000/01/02@12:57:24,46,0.020434782
2000/01/02@12:57:25,47,0.013913044
2000/01/02@12:57:26,48,0.011304348
2000/01/02@12:57:27,49,0.011304348
2000/01/02@12:57:28,50,0.01
2000/01/02@12:57:29,51,0.011304348
2000/01/02@12:57:30,52,0.02826087
2000/01/02@12:57:31,53,0.025217392
2000/01/02@12:57:32,54,0.02173913
2000/01/02@12:57:33,55,0.017391304
2000/01/02@12:57:35,57,0.022608696
2000/01/02@12:57:36,58,0.018695652
2000/01/02@12:57:37,59,0.023913042
2000/01/02@12:57:38,60,0.02173913
2000/01/02@12:57:39,61,0.0269565216
2000/01/02@12:57:40,62,0.014782609
2000/01/02@12:57:41,63,0.011304348
2000/01/02@12:57:42,64,0.00173913036
2000/01/02@12:57:43,65,0.000434782632
2000/01/02@12:57:44,66,0.0
2000/01/02@12:57:45,67,0.000434782632
2000/01/02@12:57:46,68,0.000434782632
2000/01/02@12:57:48,70,0.0
2000/01/02@12:57:49,71,0.000434782632
2000/01/02@12:57:50,72,0.000434782632
2000/01/02@12:57:51,73,0.000434782632
2000/01/02@12:57:52,74,0.000434782632
2000/01/02@12:57:53,75,0.0013043479
2000/01/02@12:57:54,76,0.0013043479
2000/01/02@12:57:55,77,0.0013043479
2000/01/02@12:57:56,78,0.002173913
2000/01/02@12:57:57,79,0.0013043479
