2000/01/01@00:00:07,7,3.4428752
2000/01/01@00:00:07,7,3.4428752
2000/01/01@00:00:08,8,3.4436252
2000/01/01@00:00:09,9,3.4411876
2000/01/01@00:00:10,10,3.43875
2000/01/01@00:00:11,11,3.43668736
2000/01/01@00:00:13,13,3.4336876
2000/01/01@00:00:14,14,3.4321876
2000/01/01@00:00:15,15,3.4320002
2000/01/01@00:00:16,16,3.42993784
2000/01/01@00:00:17,17,3.4320002
2000/01/01@00:00:18,18,3.4278752
2000/01/01@00:00:19,19,3.421875
2000/01/01@00:00:20,20,3.41925
2000/01/01@00:00:21,21,3.4188752
2000/01/01@00:00:22,22,3.4170004
2000/01/01@00:00:23,23,3.414188
2000/01/01@00:00:24,24,3.410625
2000/01/01@00:00:25,25,3.4083752
2000/01/01@00:00:26,26,3.40912532
2000/01/01@00:00:27,27,3.4068752
2000/01/01@00:00:28,28,3.40143768
2000/01/01@00:00:29,29,3.39918768
2000/01/01@00:00:30,30,3.39731268
2000/01/01@00:00:31,31,3.3963752
2000/01/01@00:00:32,32,3.39393784
2000/01/01@00:00:34,34,3.393
2000/01/01@00:00:35,35,3.3916876
2000/01/01@00:00:36,36,3.3894376
2000/01/01@00:00:37,37,3.38925
2000/01/01@00:00:38,38,3.387
2000/01/01@00:00:39,39,3.38531268
2000/01/01@00:00:40,40,3.384375
2000/01/01@00:00:41,41,3.3836252
2000/01/01@00:00:42,42,3.3841876
2000/01/01@00:00:43,43,3.3830628
2000/01/01@00:00:44,44,3.38250016
2000/01/01@00:00:45,45,3.37968768
2000/01/01@00:00:46,46,3.3798752
2000/01/01@00:00:47,47,3.3781876
2000/01/01@00:00:48,48,3.377625
2000/01/01@00:00:49,49,3.3770628
2000/01/01@00:00:50,50,3.375
2000/01/01@00:00:51,51,3.37443768
2000/01/01@00:00:53,53,3.372563
2000/01/01@00:00:54,54,3.372375
2000/01/01@00:00:55,55,3.3714376
2000/01/01@00:00:56,56,3.36975
2000/01/01@00:00:57,57,3.36918768
2000/01/01@00:00:58,58,3.3718128
2000/01/01@00:00:59,59,3.3708752
2000/01/01@00:01:00,60,3.369938
2000/01/01@00:01:01,61,3.3703128
2000/01/01@00:01:02,62,3.3675004
2000/01/01@00:01:03,63,3.36581236
2000/01/01@00:01:05,65,3.36581236
2000/01/01@00:01:06,66,3.36825032
2000/01/01@00:01:07,67,3.367313
2000/01/01@00:01:08,68,3.364688
2000/01/01@00:01:09,69,3.3701252
2000/01/01@00:01:10,70,3.36675
2000/01/01@00:01:11,71,3.36375
2000/01/01@00:01:12,72,3.36581236
2000/01/01@00:01:13,73,3.36543768
2000/01/01@00:01:14,74,3.36356268
2000/01/01@00:01:15,75,3.3645
2000/01/01@00:01:17,77,3.364688
2000/01/01@00:01:18,78,3.36356268
2000/01/01@00:01:19,79,3.3631876
2000/01/01@00:01:20,80,3.36075016
2000/01/01@00:01:21,81,3.35962532
2000/01/01@00:01:22,82,3.3570004
2000/01/01@00:01:23,83,3.3543754
2000/01/01@00:01:24,84,3.3588752
2000/01/01@00:01:25,85,3.3562504
2000/01/01@00:01:26,86,3.3547502
2000/01/01@00:01:27,87,3.3538128
2000/01/01@00:01:29,89,3.3551252
2000/01/01@00:01:30,90,3.35868736
2000/01/01@00:01:31,91,3.352875
2000/01/01@00:01:32,92,3.35718768
