datetime,elapsed_s,uvindex
2000/01/02@13:02:20,8,0.0
2000/01/02@13:02:21,9,0.0
2000/01/02@13:02:22,10,0.0
2000/01/02@13:02:23,11,0.0
2000/01/02@13:02:24,12,0.0
2000/01/02@13:02:25,13,0.0
2000/01/02@13:02:26,14,0.0
2000/01/02@13:02:27,15,0.0
2000/01/02@13:02:28,16,0.0
2000/01/02@13:02:29,17,0.0
2000/01/02@13:02:30,18,0.0
2000/01/02@13:02:31,19,0.0
2000/01/02@13:02:32,20,0.0
2000/01/02@13:02:34,22,0.0
2000/01/02@13:02:35,23,0.0
2000/01/02@13:02:36,24,0.0
2000/01/02@13:02:37,25,0.0
2000/01/02@13:02:38,26,0.0
