datetime,elapsed_s,temperature_c
2000/01/01@00:00:11,11,526.05004
2000/01/01@00:00:12,12,0.52508544
2000/01/01@00:00:14,14,0.52508544
2000/01/01@00:00:15,15,0.52508544
2000/01/01@00:00:16,16,0.52508544
2000/01/01@00:00:17,17,0.52508544
2000/01/01@00:00:18,18,0.52508544
