2000/01/01@00:07:50,21,51.86694
2000/01/01@00:07:50,21,51.86694
2000/01/01@00:07:51,22,-0.099178312
2000/01/01@00:07:52,23,-0.009151459
2000/01/01@00:07:53,24,0.12360382
2000/01/01@00:07:54,25,0.15717316
2000/01/01@00:07:55,26,0.07935333
2000/01/01@00:07:56,27,-0.099178312
2000/01/01@00:07:58,29,-0.219722752
2000/01/01@00:07:59,30,-0.218196868
2000/01/01@00:08:00,31,0.024421692
2000/01/01@00:08:01,32,0.1327591
2000/01/01@00:08:02,33,0.13733673
2000/01/01@00:08:03,34,0.1251297
2000/01/01@00:08:04,35,0.14801788
2000/01/01@00:08:05,36,0.17853546
2000/01/01@00:08:06,37,0.35401536
2000/01/01@00:08:07,38,0.3494377
2000/01/01@00:08:09,40,0.23957062
2000/01/01@00:08:10,41,0.37690352
2000/01/01@00:08:11,42,0.4943962
2000/01/01@00:08:12,43,0.91249464
2000/01/01@00:08:13,44,1.3428001
2000/01/01@00:08:14,45,1.2283554
2000/01/01@00:08:15,46,1.095604
2000/01/01@00:08:16,47,1.1871567
2000/01/01@00:08:17,48,1.3107567
2000/01/01@00:08:18,49,1.4389305
2000/01/01@00:08:20,51,1.483181
2000/01/01@00:08:21,52,1.6907044
2000/01/01@00:08:22,53,2.6504974
2000/01/01@00:08:23,54,3.2410202
