datetime,elapsed_s,pressure_hpa
2026/04/02@01:28:21,7,976.9684
2026/04/02@01:28:22,8,976.94
2026/04/02@01:28:24,10,976.962
2026/04/02@01:28:25,11,976.9428
2026/04/02@01:28:26,12,976.967936
2026/04/02@01:28:27,13,976.96816
2026/04/02@01:28:28,14,976.9657
2026/04/02@01:28:29,15,976.9744
2026/04/02@01:28:30,16,976.9788
2026/04/02@01:28:31,17,976.9789
2026/04/02@01:28:32,18,976.9705
2026/04/02@01:28:33,19,976.9854
2026/04/02@01:28:34,20,976.9752
2026/04/02@01:28:35,21,976.934464
2026/04/02@01:28:37,23,976.93496
2026/04/02@01:28:38,24,976.9579
2026/04/02@01:28:39,25,976.965664
2026/04/02@01:28:40,26,976.952
2026/04/02@01:28:41,27,976.9532
2026/04/02@01:28:42,28,976.9821
2026/04/02@01:28:43,29,976.95808
2026/04/02@01:28:44,30,976.95376
2026/04/02@01:28:45,31,977.0076
2026/04/02@01:28:46,32,977.00468
2026/04/02@01:28:47,33,976.99852
2026/04/02@01:28:48,34,977.0012
2026/04/02@01:28:50,36,976.9902
2026/04/02@01:28:51,37,976.97565
2026/04/02@01:28:52,38,976.99508
2026/04/02@01:28:53,39,976.974336
2026/04/02@01:28:54,40,976.98664
2026/04/02@01:28:55,41,976.9844
2026/04/02@01:28:56,42,976.9696
2026/04/02@01:28:57,43,976.99144
2026/04/02@01:28:58,44,977.01792
2026/04/02@01:28:59,45,977.04472
2026/04/02@01:29:00,46,977.0226
2026/04/02@01:29:01,47,977.01152
2026/04/02@01:29:03,49,976.99224
2026/04/02@01:29:04,50,976.991632
2026/04/02@01:29:05,51,976.9953
2026/04/02@01:29:06,52,977.01168
2026/04/02@01:29:07,53,976.979264
2026/04/02@01:29:08,54,977.00948
2026/04/02@01:29:09,55,976.969232
2026/04/02@01:29:10,56,977.022
2026/04/02@01:29:11,57,976.9941
2026/04/02@01:29:12,58,977.0125
2026/04/02@01:29:13,59,977.003
2026/04/02@01:29:14,60,977.01692
2026/04/02@01:29:16,62,977.0237
2026/04/02@01:29:17,63,977.02152
2026/04/02@01:29:18,64,976.9905
2026/04/02@01:29:19,65,977.003
2026/04/02@01:29:20,66,977.01384
2026/04/02@01:29:21,67,976.98664
2026/04/02@01:29:22,68,976.99192
2026/04/02@01:29:23,69,976.9514
2026/04/02@01:29:24,70,976.9467
2026/04/02@01:29:25,71,976.936768
2026/04/02@01:29:26,72,976.94448
2026/04/02@01:29:27,73,976.940336
2026/04/02@01:29:29,75,976.9652
2026/04/02@01:29:30,76,976.96016
2026/04/02@01:29:31,77,976.931664
2026/04/02@01:29:32,78,976.96624
2026/04/02@01:29:33,79,976.94532
2026/04/02@01:29:34,80,976.9255
2026/04/02@01:29:35,81,976.961232
2026/04/02@01:29:36,82,976.9479
2026/04/02@01:29:37,83,976.958464
2026/04/02@01:29:38,84,976.9587
2026/04/02@01:29:39,85,976.97452
2026/04/02@01:29:40,86,976.94148
2026/04/02@01:29:42,88,976.9601
2026/04/02@01:29:43,89,976.9425
2026/04/02@01:29:44,90,976.9462
2026/04/02@01:29:45,91,976.980864
2026/04/02@01:29:46,92,976.96824
2026/04/02@01:29:47,93,977.0006
2026/04/02@01:29:48,94,976.97484
2026/04/02@01:29:49,95,976.961232
2026/04/02@01:29:50,96,976.99112
2026/04/02@01:29:51,97,976.9615
2026/04/02@01:29:52,98,976.9553
2026/04/02@01:29:53,99,976.9465
2026/04/02@01:29:55,101,976.92776
2026/04/02@01:29:56,102,976.928064
2026/04/02@01:29:57,103,976.9481
2026/04/02@01:29:58,104,976.9517
2026/04/02@01:29:59,105,976.9665
2026/04/02@01:30:00,106,976.91656
2026/04/02@01:30:01,107,976.9533
2026/04/02@01:30:02,108,976.92776
2026/04/02@01:30:03,109,976.9648
2026/04/02@01:30:04,110,976.9589
2026/04/02@01:30:05,111,976.9383
2026/04/02@01:30:06,112,976.93304
2026/04/02@01:30:08,114,976.941936
2026/04/02@01:30:09,115,976.90576
2026/04/02@01:30:10,116,976.9294
2026/04/02@01:30:11,117,976.907
2026/04/02@01:30:12,118,976.95512
2026/04/02@01:30:13,119,976.9535
2026/04/02@01:30:14,120,976.9746
2026/04/02@01:30:15,121,976.93304
2026/04/02@01:30:16,122,977.001136
2026/04/02@01:30:17,123,976.93508
2026/04/02@01:30:18,124,976.9226
2026/04/02@01:30:19,125,976.92732
2026/04/02@01:30:21,127,976.99132
2026/04/02@01:30:22,128,976.95624
2026/04/02@01:30:23,129,976.981
2026/04/02@01:30:24,130,977.0031
2026/04/02@01:30:25,131,977.01416
2026/04/02@01:30:26,132,976.983
2026/04/02@01:30:27,133,977.00868
2026/04/02@01:30:28,134,976.98376
2026/04/02@01:30:29,135,976.9955
2026/04/02@01:30:30,136,976.9779
2026/04/02@01:30:31,137,977.00024
2026/04/02@01:30:32,138,976.984
2026/04/02@01:30:34,139,977.0037
2026/04/02@01:30:35,141,976.9944
2026/04/02@01:30:36,142,976.96016
2026/04/02@01:30:37,143,976.9626
2026/04/02@01:30:38,144,976.9638
2026/04/02@01:30:39,145,976.9668
2026/04/02@01:30:40,146,976.97032
2026/04/02@01:30:41,147,976.9503
2026/04/02@01:30:42,148,976.9625
2026/04/02@01:30:43,149,976.9822
2026/04/02@01:30:44,150,976.9618
2026/04/02@01:30:45,151,976.9418
2026/04/02@01:30:46,152,976.96892
2026/04/02@01:30:48,154,976.9749
2026/04/02@01:30:49,155,976.9741
2026/04/02@01:30:50,156,977.01292
2026/04/02@01:30:51,157,976.98832
2026/04/02@01:30:52,158,977.0203
2026/04/02@01:30:53,159,976.9587
2026/04/02@01:30:54,160,976.9879
2026/04/02@01:30:55,161,977.034
2026/04/02@01:30:56,162,977.050832
2026/04/02@01:30:57,163,977.02312
2026/04/02@01:30:58,164,977.0514
2026/04/02@01:30:59,165,976.98552
2026/04/02@01:31:01,167,977.000368
2026/04/02@01:31:02,168,977.0034
2026/04/02@01:31:03,169,976.9657
2026/04/02@01:31:04,170,977.01868
2026/04/02@01:31:05,171,976.9702
2026/04/02@01:31:06,172,976.9963
2026/04/02@01:31:07,173,976.997
2026/04/02@01:31:08,174,976.983136
2026/04/02@01:31:09,175,976.967136
2026/04/02@01:31:10,176,976.99716
2026/04/02@01:31:11,177,976.9695
2026/04/02@01:31:12,178,977.0343
2026/04/02@01:31:14,180,977.0332
2026/04/02@01:31:15,181,976.99852
2026/04/02@01:31:16,182,977.0045
2026/04/02@01:31:17,183,977.00744
2026/04/02@01:31:18,184,976.9874
2026/04/02@01:31:19,185,976.98344
2026/04/02@01:31:20,186,976.9963
2026/04/02@01:31:21,187,976.9812
2026/04/02@01:31:22,188,976.991
2026/04/02@01:31:23,189,976.96328
2026/04/02@01:31:24,190,976.9775
2026/04/02@01:31:25,191,976.98416
2026/04/02@01:31:27,193,976.97424
2026/04/02@01:31:28,194,976.9779
2026/04/02@01:31:29,195,976.9744
2026/04/02@01:31:30,196,976.9824
2026/04/02@01:31:31,197,976.9934
2026/04/02@01:31:32,198,976.9716
2026/04/02@01:31:33,199,976.9632
2026/04/02@01:31:34,200,976.9705
2026/04/02@01:31:35,201,976.98
2026/04/02@01:31:36,202,977.002432
2026/04/02@01:31:37,203,976.99008
2026/04/02@01:31:38,204,977.01808
2026/04/02@01:31:40,206,976.9713
