datetime,elapsed_s,pressure_hpa
2026/08/01@02:55:58,7,1008.89452
2026/08/01@02:55:59,8,1008.923
2026/08/01@02:56:00,9,1008.8781
2026/08/01@02:56:01,10,1008.913
2026/08/01@02:56:02,11,1008.92192
2026/08/01@02:56:04,13,1008.9257
2026/08/01@02:56:05,14,1008.9646
2026/08/01@02:56:06,15,1008.9177
2026/08/01@02:56:07,16,1008.8892
2026/08/01@02:56:08,17,1008.9256
2026/08/01@02:56:09,18,1008.94416
2026/08/01@02:56:10,19,1008.9448
2026/08/01@02:56:11,20,1008.9153
2026/08/01@02:56:12,21,1008.9007
2026/08/01@02:56:13,22,1008.91316
2026/08/01@02:56:14,23,1008.94448
