datetime,elapsed_s,pressure_hpa
2026/04/02@00:44:09,7,977.045936
2026/04/02@00:44:10,8,977.02424
2026/04/02@00:44:11,9,977.0104
2026/04/02@00:44:12,10,977.0142
2026/04/02@00:44:13,11,977.0438
2026/04/02@00:44:14,12,977.02328
2026/04/02@00:44:16,14,976.993
2026/04/02@00:44:17,15,977.009136
2026/04/02@00:44:18,16,977.0237
2026/04/02@00:44:19,17,977.0157
2026/04/02@00:44:20,18,977.0134
2026/04/02@00:44:21,19,977.0293
2026/04/02@00:44:22,20,977.0572
2026/04/02@00:44:23,21,977.05384
2026/04/02@00:44:24,22,977.0375
2026/04/02@00:44:25,23,977.0408
2026/04/02@00:44:26,24,977.0467
2026/04/02@00:44:27,25,977.0334
2026/04/02@00:44:29,27,977.0252
2026/04/02@00:44:30,28,977.0553
2026/04/02@00:44:31,29,977.0443
2026/04/02@00:44:32,30,977.0262
2026/04/02@00:44:33,31,977.0326
2026/04/02@00:44:34,32,977.04
2026/04/02@00:44:35,33,977.0547
2026/04/02@00:44:36,34,977.035664
2026/04/02@00:44:37,35,977.0246
2026/04/02@00:44:38,36,977.03932
2026/04/02@00:44:39,37,977.019136
2026/04/02@00:44:40,38,977.00728
2026/04/02@00:44:42,40,977.03392
2026/04/02@00:44:43,41,977.036
2026/04/02@00:44:44,42,977.0142
2026/04/02@00:44:45,43,977.003
2026/04/02@00:44:46,44,976.9888
2026/04/02@00:44:47,45,977.0023
2026/04/02@00:44:48,46,977.01736
2026/04/02@00:44:49,47,976.98052
2026/04/02@00:44:50,48,977.0183
2026/04/02@00:44:51,49,977.0168
2026/04/02@00:44:52,50,977.0148
2026/04/02@00:44:53,51,977.002
2026/04/02@00:44:55,53,977.0478
2026/04/02@00:44:56,54,977.0259
2026/04/02@00:44:57,55,977.03184
2026/04/02@00:44:58,56,977.0502
2026/04/02@00:44:59,57,977.04208
2026/04/02@00:45:00,58,977.0065
2026/04/02@00:45:01,59,977.0068
2026/04/02@00:45:02,60,977.0031
2026/04/02@00:45:03,61,977.02092
2026/04/02@00:45:04,62,977.05024
2026/04/02@00:45:05,63,977.0444
2026/04/02@00:45:06,64,976.9933
2026/04/02@00:45:08,66,977.0302
2026/04/02@00:45:09,67,977.034
2026/04/02@00:45:10,68,977.0017
2026/04/02@00:45:11,69,977.016864
2026/04/02@00:45:12,70,976.9953
2026/04/02@00:45:13,71,977.0006
2026/04/02@00:45:14,72,977.0011
2026/04/02@00:45:15,73,976.99784
2026/04/02@00:45:16,74,977.0416
2026/04/02@00:45:17,75,977.0051
