datetime,elapsed_s,humidity_percent
2026/08/01@02:55:57,7,51.639584
2026/08/01@02:55:58,8,51.49157
2026/08/01@02:55:59,9,51.184864
2026/08/01@02:56:00,10,50.814068
2026/08/01@02:56:01,11,50.4448
2026/08/01@02:56:02,12,50.19608
2026/08/01@02:56:03,13,49.97635
2026/08/01@02:56:04,14,49.710844
2026/08/01@02:56:05,15,49.492636
2026/08/01@02:56:07,17,49.33547
2026/08/01@02:56:08,18,49.16152
2026/08/01@02:56:09,19,49.02571
2026/08/01@02:56:10,20,48.909744
2026/08/01@02:56:11,21,48.783092
2026/08/01@02:56:12,22,48.84718
2026/08/01@02:56:13,23,48.863964
