datetime,elapsed_s,alcohol
2000/01/01@02:31:13,7,3.663
2000/01/01@02:31:14,8,3.66450016
2000/01/01@02:31:15,9,3.66450016
2000/01/01@02:31:16,10,4.520625
2000/01/01@02:31:25,19,55.544364
2000/01/01@02:31:26,20,54.505228
2000/01/01@02:31:27,21,100.0
