datetime,elapsed_s,temperature_c
None,7,17.775012
None,8,17.700004
None,9,17.625022
None,10,17.525006
None,11,17.425012
None,12,17.400004
None,13,17.400004
None,14,17.32502
None,15,17.400004
None,17,17.575002
None,18,17.700004
None,19,17.850018
None,20,18.050004
None,21,18.250014
None,22,18.32502
None,23,18.400002
None,24,18.525006
None,25,18.600012
None,26,18.700004
None,27,18.725014
None,28,18.725014
None,30,18.675018
None,31,18.575026
None,32,18.475008
None,33,18.300008
None,34,18.200016
None,35,18.100024
None,36,17.95001
None,37,17.800022
None,38,17.675018
None,39,17.575002
None,40,17.525006
None,41,17.47501
None,42,17.400004
None,44,17.450024
None,45,17.450024
None,46,17.525006
None,47,17.575002
None,48,17.675018
None,49,17.700004
None,50,17.675018
None,51,17.750002
None,52,17.850018
None,53,18.025016
None,54,18.15002
None,55,18.250014
None,56,18.275022
None,58,18.250014
None,59,18.225002
None,60,18.250014
None,61,18.200016
None,62,18.100024
None,63,18.12501
None,64,18.075014
None,65,18.100024
None,66,18.200016
None,67,18.275022
None,68,18.425012
None,69,18.550014
None,70,18.450022
None,72,18.450022
None,73,18.600012
None,74,18.600012
None,75,18.700004
None,76,18.95001
None,77,19.12501
None,78,19.275022
None,79,19.375016
None,80,19.300008
None,81,19.525004
None,82,19.675016
None,83,19.850016
None,84,20.100022
None,86,20.350004
None,87,20.575024
None,88,20.77501
None,89,20.875002
None,90,20.925022
None,91,20.875002
None,92,20.825004
None,93,20.875002
None,94,20.975018
None,95,21.100022
None,96,21.150016
None,97,21.225024
None,98,21.350002
None,100,21.475006
None,101,21.62502
