Designator,Mid X,Mid Y,Rotation,Layer
C1,89.13,-58.72,90.0,top
C2,89.77,-62.22,180.0,top
C5,93.94,-65.11,0.0,top
MPU6500,93.66,-58.62005,0.0,bottom
R1,89.86,-55.15,180.0,top
R2,97.78,-58.71,180.0,top
R3,97.76,-62.24,180.0,top
U1,103.29476,-60.30476,270.0,top
U2,83.96476,-60.30476,90.0,top
