datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:31:36,7,0.06091309,0.08605957,1.0444336,-1.3587786,1.1984733,-1.1450381
2026/08/01@02:31:37,8,0.054504396,0.084472652,1.0415039,-1.4427481,1.1603054,-1.1068702
2026/08/01@02:31:38,9,0.064331052,0.085510252,1.0445557,-1.4580153,1.091603,-1.1526718
2026/08/01@02:31:39,10,0.060546876,0.08001709,1.0441284,-1.4427481,0.90076332,-1.0687023
2026/08/01@02:31:40,11,0.06072998,0.08392334,1.0441894,-1.389313,1.2900764,-1.2061069
2026/08/01@02:31:41,12,0.07104492,0.09527588,1.0454712,-1.5496184,1.2671756,-1.2519084
2026/08/01@02:31:42,13,0.059570312,0.10772705,1.0446167,-1.0763359,1.3358779,-1.0687023
2026/08/01@02:31:44,15,0.05883789,0.08355713,1.03656,-1.5496184,1.0763359,-1.129771
2026/08/01@02:31:45,16,0.08691406,0.07714844,1.1161499,-2.1450382,-0.06870229,-1.3358779
2026/08/01@02:31:46,17,0.06188965,0.08770752,1.0407104,-1.2900764,1.3282443,-1.1832061
2026/08/01@02:31:47,18,0.057922364,0.08581543,1.0440064,-1.351145,1.3435115,-1.2061069
2026/08/01@02:31:48,19,0.060546876,0.083984376,1.0448608,-1.4122137,1.1145039,-1.091603
2026/08/01@02:31:49,20,0.055664064,0.08734131,1.0455933,-1.1832061,1.2442748,-1.0687023
2026/08/01@02:31:50,21,0.05432129,0.085876468,1.0426025,-1.4274809,1.259542,-1.1374046
