datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:31:58,7,0.05279541,0.08654785,1.0418091,-1.4732824,0.793893168,-1.0610686
2026/08/01@02:31:59,8,0.057495116,0.0836792,1.0328369,-1.389313,1.1374046,-1.0534351
2026/08/01@02:32:00,9,0.05883789,0.083740232,1.0441894,-1.4656489,1.0992366,-1.1145039
2026/08/01@02:32:02,11,0.05908203,0.08831787,1.0408325,-1.3129771,1.2824427,-1.2061069
2026/08/01@02:32:03,12,0.0562744136,0.082092284,1.041565,-1.4198474,1.2671756,-1.0839695
2026/08/01@02:32:04,13,0.056030272,0.08557129,1.045166,-1.4427481,0.793893168,-1.0763359
2026/08/01@02:32:05,14,0.057617188,0.0871582,1.0420532,-1.221374,1.6259542,-1.259542
2026/08/01@02:32:06,15,0.049072264,0.08477783,1.0390015,-1.3358779,1.2290076,-1.1221374
2026/08/01@02:32:07,16,0.05432129,0.09020996,1.043457,-1.5419847,1.0458015,-1.091603
2026/08/01@02:32:08,17,0.06072998,0.08392334,1.0443726,-1.4885496,0.9541985,-1.2442748
2026/08/01@02:32:09,18,0.060424804,0.08728027,1.0460816,-1.4198474,1.3282443,-1.2671756
2026/08/01@02:32:10,19,0.060668944,0.08380127,1.0440674,-2.0,0.8396947,-1.1374046
2026/08/01@02:32:12,21,0.059570312,0.08770752,1.0481567,-1.4427481,1.9770992,-1.1221374
2026/08/01@02:32:13,22,0.05810547,0.08081055,1.0476684,-1.5725191,0.961832064,-1.1755725
2026/08/01@02:32:14,23,0.05328369,0.077697752,1.0354004,-1.4656489,0.65648852,-1.0610686
2026/08/01@02:32:15,24,0.06439209,0.082092284,1.0463257,-1.2671756,0.90076332,-1.2671756
