datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:34:07,7,-0.9328003,-0.1583252,0.029296875,-1.4732824,1.1450381,-1.2366412
2026/08/01@02:34:08,8,-0.93255616,-0.15948486,0.028198242,-1.3969466,1.1374046,-1.1984733
2026/08/01@02:34:09,9,-0.932251,-0.16027832,0.030456542,-1.3206106,1.2061069,-1.0763359
2026/08/01@02:34:10,10,-0.93133544,-0.15710449,0.03112793,-1.3587786,1.2137405,-1.221374
2026/08/01@02:34:11,11,-0.93359376,-0.1595459,0.029907226,-1.389313,1.1374046,-1.091603
2026/08/01@02:34:12,12,-0.93133544,-0.15826416,0.028625488,-1.480916,1.1450381,-1.1755725
2026/08/01@02:34:13,13,-0.930603,-0.15820312,0.028564454,-1.4503816,1.129771,-1.0839695
2026/08/01@02:34:14,14,-0.934021,-0.1593628,0.030517578,-1.4045801,1.1221374,-1.1221374
2026/08/01@02:34:16,15,-0.9312744,-0.16015625,0.028869628,-1.4427481,1.1145039,-1.1526718
2026/08/01@02:34:17,17,-0.9296875,-0.16015625,0.02911377,-1.3358779,1.2442748,-1.1832061
2026/08/01@02:34:18,18,-0.9320679,-0.16174316,0.03125,-1.4198474,1.221374,-1.1374046
2026/08/01@02:34:19,19,-0.9324951,-0.16088867,0.028320312,-1.5114504,1.167939,-1.259542
2026/08/01@02:34:20,20,-0.9316406,-0.159729,0.028625488,-1.3664122,1.221374,-1.1755725
2026/08/01@02:34:21,21,-0.9316406,-0.15789795,0.031311036,-1.4351145,1.1068702,-1.221374
2026/08/01@02:34:22,22,-0.93182376,-0.159729,0.0277099616,-1.4503816,1.129771,-1.1374046
2026/08/01@02:34:23,23,-0.932251,-0.1605835,0.028503418,-1.3816794,1.1984733,-1.1068702
2026/08/01@02:34:24,24,-0.93133544,-0.16040039,0.025878906,-1.351145,1.1221374,-1.0687023
2026/08/01@02:34:25,25,-0.930542,-0.16003418,0.029846192,-1.3740458,1.167939,-1.1832061
2026/08/01@02:34:27,27,-0.9320679,-0.1607666,0.028747558,-1.4122137,1.1374046,-1.3206106
2026/08/01@02:34:28,28,-0.9309082,-0.15881348,0.029663086,-1.3587786,1.1984733,-1.1450381
2026/08/01@02:34:29,29,-0.93011468,-0.16021728,0.028503418,-1.4045801,1.259542,-1.091603
2026/08/01@02:34:30,30,-0.9316406,-0.15960694,0.02746582,-1.3587786,1.1984733,-1.2366412
2026/08/01@02:34:31,31,-0.9309082,-0.15924072,0.027832032,-1.389313,1.1450381,-1.1603054
2026/08/01@02:34:32,32,-0.9296875,-0.15911865,0.028930664,-1.5114504,1.1603054,-1.0229008
2026/08/01@02:34:33,33,-0.93066408,-0.15881348,0.026733398,-1.4427481,1.0839695,-1.221374
2026/08/01@02:34:34,34,-0.9293823,-0.15948486,0.02935791,-1.4732824,1.2748091,-1.2137405
2026/08/01@02:34:35,35,-0.9310913,-0.15856934,0.02758789,-1.4503816,1.129771,-1.2748091
2026/08/01@02:34:36,36,-0.9320679,-0.15966797,0.027832032,-1.3969466,1.1908396,-1.2290076
2026/08/01@02:34:38,38,-0.9312744,-0.15844726,0.034606932,-1.4045801,1.1755725,-1.1450381
2026/08/01@02:34:39,39,-0.9324951,-0.15997314,0.0265502932,-1.4732824,1.2366412,-1.1603054
2026/08/01@02:34:40,40,-0.9324951,-0.15740967,0.029174804,-1.4503816,1.1450381,-1.2519084
2026/08/01@02:34:41,41,-0.93133544,-0.15948486,0.025817872,-1.3053435,1.259542,-1.1832061
2026/08/01@02:34:42,42,-0.9312744,-0.15917969,0.029174804,-1.4351145,1.091603,-1.0839695
2026/08/01@02:34:43,43,-0.92962648,-0.1595459,0.028503418,-1.4580153,1.1145039,-1.221374
2026/08/01@02:34:44,44,-0.9324951,-0.1583252,0.027038574,-1.4503816,1.2442748,-1.1984733
2026/08/01@02:34:45,45,-0.9307251,-0.16009522,0.027160644,-1.3129771,1.2442748,-1.1603054
2026/08/01@02:34:46,46,-0.93133544,-0.15820312,0.026794434,-1.4503816,1.091603,-1.1755725
2026/08/01@02:34:48,47,-0.9310913,-0.15960694,0.027282714,-1.4122137,1.1832061,-1.1755725
2026/08/01@02:34:49,49,-0.9291992,-0.15960694,0.02722168,-1.4961832,1.1450381,-1.1145039
2026/08/01@02:34:50,50,-0.9321289,-0.16015625,0.030822754,-1.3969466,1.129771,-1.2137405
2026/08/01@02:34:51,51,-0.9281006,-0.1616211,0.024902344,-1.4961832,1.1145039,-1.1832061
2026/08/01@02:34:52,52,-0.9290161,-0.16015625,0.027832032,-1.4274809,1.2290076,-1.1450381
2026/08/01@02:34:53,53,-0.92871096,-0.16149902,0.028625488,-1.4274809,1.167939,-1.1068702
2026/08/01@02:34:54,54,-0.932251,-0.15771484,0.028015136,-1.4961832,1.2366412,-1.2671756
2026/08/01@02:34:55,55,-0.9317627,-0.15960694,0.028076172,-1.3435115,1.1526718,-1.167939
2026/08/01@02:34:56,56,-0.9324341,-0.15808106,0.028747558,-1.4732824,1.1908396,-1.1755725
2026/08/01@02:34:57,57,-0.932312,-0.1586914,0.028442382,-1.4351145,1.2671756,-1.1755725
2026/08/01@02:34:59,59,-0.93218992,-0.1593628,0.023742676,-1.480916,1.2671756,-1.1450381
2026/08/01@02:35:00,60,-0.9301758,-0.15820312,0.0308837884,-1.351145,1.0992366,-1.1374046
2026/08/01@02:35:01,61,-0.932006864,-0.15789795,0.026184082,-1.4732824,1.129771,-1.1145039
2026/08/01@02:35:02,62,-0.931884736,-0.15905762,0.027404786,-1.5038168,1.1221374,-1.2519084
2026/08/01@02:35:03,63,-0.93048092,-0.1595459,0.027954102,-1.4122137,1.1450381,-1.0839695
2026/08/01@02:35:04,64,-0.93182376,-0.16003418,0.028259278,-1.351145,1.1526718,-1.1221374
2026/08/01@02:35:05,65,-0.928894032,-0.15856934,0.027893066,-1.4198474,1.167939,-1.1908396
