2026/08/01@02:39:38,7,-0.9324951,-0.1418457,0.02319336,-1.3969466,1.0152671,-0.9694657
2026/08/01@02:39:38,7,-0.9324951,-0.1418457,0.02319336,-1.3969466,1.0152671,-0.9694657
2026/08/01@02:39:39,8,-0.9298706,-0.14276123,0.021057128,-1.4351145,1.2671756,-1.3053435
2026/08/01@02:39:40,9,-0.9315796,-0.13275146,0.0211792,-1.740458,1.6259542,-1.3282443
2026/08/01@02:39:41,10,-0.9192505,-0.14550781,0.016967774,-1.3740458,1.5648855,-1.3969466
2026/08/01@02:39:42,11,-0.94592284,-0.13568115,0.026428222,-1.351145,0.2977099,-0.6870229
2026/08/01@02:39:43,12,-0.93634032,-0.14624024,0.024291992,-1.4961832,1.29771,-1.5725191
2026/08/01@02:39:44,13,-0.9346924,-0.1416626,0.022216796,-1.4503816,1.1984733,-1.1374046
2026/08/01@02:39:46,15,-0.9347534,-0.14013672,0.022949218,-1.4351145,1.1832061,-1.167939
2026/08/01@02:39:47,16,-0.9385376,-0.1329956,0.033325196,-1.81679384,4.0458016,-1.0534351
2026/08/01@02:39:48,17,-0.932006864,-0.14202881,0.023620606,-1.5343511,1.1145039,-1.3129771
2026/08/01@02:39:49,18,-0.9406738,-0.1430664,0.020385742,-1.4351145,0.54198476,-1.8473282
2026/08/01@02:39:50,19,-0.91900632,-0.14611816,0.009338379,-1.4198474,1.0610686,-1.1755725
2026/08/01@02:39:51,20,-0.9437866,-0.16442871,0.025939942,-2.1603052,1.6641221,-0.65648852
2026/08/01@02:39:52,21,-0.90338136,-0.15203858,-0.011169434,-1.4503816,1.832061,-1.0992366
2026/08/01@02:39:53,22,-0.9215698,-0.14910888,0.014343262,-1.4580153,1.3435115,-0.7480916
2026/08/01@02:39:54,23,-0.9352417,-0.15063476,0.028930664,-1.4656489,1.5419847,-0.8778626
2026/08/01@02:39:55,24,-0.9380493,-0.13989258,0.028869628,-1.4198474,1.4503816,-1.3358779
2026/08/01@02:39:57,26,-0.94140624,-0.13647461,0.024719238,-1.221374,0.8549618,-1.0458015
2026/08/01@02:39:58,27,-0.9367676,-0.1416626,0.026184082,-1.5038168,1.5419847,-1.2519084
2026/08/01@02:39:59,28,-0.9164429,-0.122802732,-0.007019043,-1.7633588,1.2824427,-2.480916
2026/08/01@02:40:00,29,-0.927856464,-0.14068604,0.004699707,-1.2137405,0.458015268,0.061068704
2026/08/01@02:40:01,30,-0.9263916,-0.14001465,0.01574707,-1.2748091,0.8854962,-0.90839692
2026/08/01@02:40:02,31,-0.9249878,-0.12353516,0.016540528,-1.3358779,0.53435116,-0.9541985
2026/08/01@02:40:03,32,-0.93029784,-0.1361084,0.020812988,-1.5267176,1.5648855,-1.4198474
2026/08/01@02:40:04,33,-0.934082064,-0.14385986,0.025146484,-1.4198474,1.7709924,-1.5648855
2026/08/01@02:40:05,34,-0.9143677,-0.1373291,0.0005493164,-2.091603,3.1374046,-0.648855
2026/08/01@02:40:07,35,-0.9367676,-0.14050293,0.01739502,-1.4122137,1.2442748,-1.1908396
2026/08/01@02:40:08,37,-0.949218736,-0.13549804,0.028747558,-1.3969466,0.7633588,-1.1832061
2026/08/01@02:40:09,38,-0.921936064,-0.137146,0.014038086,-1.4045801,0.7480916,-1.1526718
2026/08/01@02:40:10,39,-0.93414308,-0.16168213,0.032287596,-1.4274809,1.1068702,-0.9465649
2026/08/01@02:40:11,40,-0.9345093,-0.1404419,0.01586914,-1.4885496,1.3053435,-1.0610686
2026/08/01@02:40:12,41,-0.9371948,-0.14068604,0.017028808,-1.4351145,1.2519084,-1.129771
2026/08/01@02:40:13,42,-0.9324341,-0.15740967,0.021850586,-2.091603,1.1068702,-1.0992366
2026/08/01@02:40:14,43,-0.93359376,-0.14105224,0.0238037108,-1.5496184,2.076336,-1.2671756
2026/08/01@02:40:15,44,-0.940979,-0.14129638,0.008544922,-0.99236643,0.473282468,-0.5114504
2026/08/01@02:40:16,45,-0.93444824,-0.15930176,0.051635744,-1.0458015,0.5954198,-1.3740458
