datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:38:21,7,-0.9367676,-0.099487304,-0.017211914,-1.4351145,1.038168,-1.1908396
2026/08/01@02:38:23,9,-0.93640136,-0.101867684,-0.014953613,-1.4885496,1.3740458,-0.9236641
2026/08/01@02:38:24,10,-0.937072736,-0.101745608,-0.013244629,-1.5801526,1.5877863,-0.8549618
2026/08/01@02:38:25,11,-0.939209,-0.09942627,-0.013916016,-1.4427481,1.0610686,-2.0229008
2026/08/01@02:38:26,12,-0.93756104,-0.09851074,-0.013061523,-1.4198474,1.1374046,-1.1221374
2026/08/01@02:38:27,13,-0.9279785,-0.08538818,-0.020263672,-1.4580153,1.2519084,-1.4274809
2026/08/01@02:38:28,14,-0.93463132,-0.09490967,-0.017333984,-1.4427481,1.29771,-1.2671756
2026/08/01@02:38:29,15,-0.9390869,-0.09729004,-0.010253906,-1.5572519,1.1984733,-0.84732824
2026/08/01@02:38:30,16,-0.937927232,-0.095581052,-0.013366699,-1.4274809,0.8396947,-1.3129771
2026/08/01@02:38:31,17,-0.9428711,-0.08343506,-0.014404297,-1.3740458,0.8854962,-0.58778624
2026/08/01@02:38:32,18,-0.9315796,-0.09625244,-0.018676758,-1.5114504,0.9694657,-0.6870229
2026/08/01@02:38:34,20,-0.9417114,-0.09399414,-0.011169434,-1.4351145,1.5954199,-1.3358779
2026/08/01@02:38:35,21,-0.9359131,-0.09857178,-0.013244629,-1.519084,1.7557252,-0.60305348
2026/08/01@02:38:36,22,-0.9393921,-0.08581543,-0.016723632,-1.4198474,1.2671756,-1.129771
2026/08/01@02:38:37,23,-0.9406738,-0.09362793,-0.01550293,-1.4961832,1.2671756,-0.83206104
2026/08/01@02:38:38,24,-0.9388428,-0.0881958,-0.021606446,-1.4503816,1.3587786,-0.9160305
2026/08/01@02:38:39,25,-0.9394531,-0.09301758,-0.01928711,-1.4961832,1.2137405,-1.0305344
2026/08/01@02:38:40,26,-0.9369507,-0.09020996,-0.018493652,-1.519084,1.4503816,-0.778625968
2026/08/01@02:38:41,27,-0.9403076,-0.09069824,-0.017028808,-1.4885496,1.0305344,-1.4045801
2026/08/01@02:38:42,28,-0.9378052,-0.08892822,-0.017089844,-1.351145,0.7557252,-1.778626
2026/08/01@02:38:43,29,-0.9365845,-0.085998536,-0.027160644,-1.480916,1.1984733,-0.16793894
2026/08/01@02:38:45,31,-0.93048092,-0.07476807,-0.03387451,-1.7709924,1.1526718,-0.6793893
2026/08/01@02:38:46,32,-0.932251,-0.12347412,0.0067749024,-1.3816794,1.3282443,-1.29771
2026/08/01@02:38:47,33,-0.9272461,-0.12463379,0.0071411132,-1.259542,0.3740458,-1.0839695
2026/08/01@02:38:48,34,-0.93774416,-0.123413084,0.0076904296,-1.351145,0.52671752,-1.6183206
2026/08/01@02:38:49,35,-0.9284668,-0.12310791,0.012817383,-1.4274809,1.5725191,-1.3053435
2026/08/01@02:38:50,36,-0.9326782,-0.12548828,0.011962891,-1.29771,0.10687023,-1.8473282
2026/08/01@02:38:51,37,-0.968322736,-0.11090088,-0.020568848,-1.5496184,4.2748092,1.351145
2026/08/01@02:38:52,38,-0.934021,-0.12731934,0.015808106,-1.5267176,1.2824427,-1.259542
2026/08/01@02:38:53,39,-0.9283447,-0.13024902,0.012817383,-1.4732824,0.9847328,-0.8549618
2026/08/01@02:38:54,40,-0.9387207,-0.1184082,0.0018920898,0.4274809,0.33587788,-1.0610686
2026/08/01@02:38:56,42,-0.9376221,-0.12640381,0.01171875,-1.648855,1.1908396,-2.5496182
2026/08/01@02:38:57,43,-0.927063,-0.12347412,-0.0026245118,-1.351145,2.1145038,-2.1526718
2026/08/01@02:38:58,44,-0.955139136,-0.13122558,0.012512207,-0.099236648,1.7480916,-1.9847329
2026/08/01@02:38:59,45,-0.934021,-0.1338501,0.010986328,-1.4656489,1.4580153,-0.9160305
2026/08/01@02:39:00,46,-0.934997568,-0.13354492,0.019226074,-1.4351145,0.64122132,-1.3206106
2026/08/01@02:39:01,47,-0.9338379,-0.13458252,0.018005372,-1.4503816,0.9160305,-1.3282443
2026/08/01@02:39:02,48,-0.9313965,-0.13439942,0.020751954,-1.4656489,1.3816794,-1.0
2026/08/01@02:39:03,49,-0.9310913,-0.13555908,0.021728516,-1.4503816,1.7557252,-1.0305344
2026/08/01@02:39:04,50,-0.9354248,-0.13305664,0.009216309,-1.5038168,1.5572519,-1.0458015
2026/08/01@02:39:06,52,-0.9338989,-0.13677978,0.017211914,-1.4580153,1.0839695,-1.80152668
2026/08/01@02:39:07,53,-0.937927232,-0.13250732,0.015319824,-1.4122137,1.2366412,-1.0687023
2026/08/01@02:39:08,54,-0.9298706,-0.13519287,0.012084961,-1.4274809,1.3664122,-0.99236643
2026/08/01@02:39:09,55,-0.920898464,-0.14312744,0.017028808,-1.2671756,0.17557252,-1.5419847
2026/08/01@02:39:10,56,-0.9295654,-0.13793946,0.01361084,-1.4274809,1.0534351,-1.3740458
2026/08/01@02:39:11,57,-0.9319458,-0.13934326,0.019348144,-1.480916,1.0992366,-1.2900764
2026/08/01@02:39:12,58,-0.9163208,-0.14001465,0.013244629,-1.3358779,0.8244275,-0.6870229
2026/08/01@02:39:13,59,-0.9354248,-0.1362915,0.0146484368,-1.3587786,0.83206104,-1.740458
2026/08/01@02:39:14,60,-0.9449463,-0.13720703,0.026306152,-1.2671756,0.35877864,-1.4503816
2026/08/01@02:39:15,61,-0.9571533,-0.176025392,0.028381348,-0.6183206,1.2442748,0.8778626
2026/08/01@02:39:17,63,-0.929931664,-0.14215088,0.0253906252,-1.6412214,1.7709924,-0.83206104
