datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:38:06,8,-0.93151852,-0.15899658,0.025939942,-1.4122137,1.0992366,-1.29771
2026/08/01@02:38:07,9,-0.9293213,-0.16082764,0.0242309568,-1.4274809,1.3053435,-1.167939
2026/08/01@02:38:08,10,-0.9298706,-0.16119385,0.026916504,-1.4351145,1.0763359,-1.1984733
2026/08/01@02:38:09,11,-0.9326782,-0.15985108,0.026306152,-1.4503816,1.167939,-1.2137405
2026/08/01@02:38:10,12,-0.928894032,-0.15765381,0.0265502932,-1.4122137,1.1145039,-1.1145039
2026/08/01@02:38:11,13,-0.93670652,-0.15307617,0.020019532,-1.3358779,0.977099264,-1.3053435
2026/08/01@02:38:12,14,-0.96661376,-0.13439942,0.022705078,-1.3816794,0.870229,-1.4045801
2026/08/01@02:38:13,15,-0.91516116,-0.16485596,0.0214843736,-1.5801526,1.29771,-1.870229
